Date,Open,High,Low,Close,Adj Close,Volume
4/8/2021,128.949997,130.389999,128.520004,130.360001,129.589767,88844600
4/9/2021,129.800003,133.039993,129.470001,133,132.214188,106686700
4/12/2021,132.520004,132.850006,130.630005,131.240005,130.4646,91420000
4/13/2021,132.440002,134.660004,131.929993,134.429993,133.635727,91266500
4/14/2021,134.940002,135,131.660004,132.029999,131.249924,87222800
4/15/2021,133.820007,135,133.639999,134.5,133.705322,89347100
4/16/2021,134.300003,134.669998,133.279999,134.160004,133.367325,84922400
4/19/2021,133.509995,135.470001,133.339996,134.839996,134.04332,94264200
4/20/2021,135.020004,135.529999,131.809998,133.110001,132.323532,94812300
4/21/2021,132.360001,133.75,131.300003,133.5,132.711227,68847100
4/22/2021,133.039993,134.149994,131.410004,131.940002,131.160446,84566500
4/23/2021,132.160004,135.119995,132.160004,134.320007,133.526398,78657500
4/26/2021,134.830002,135.059998,133.559998,134.720001,133.924042,66905100
4/27/2021,135.009995,135.410004,134.110001,134.389999,133.595963,66015800
4/28/2021,134.309998,135.020004,133.080002,133.580002,132.790756,107760100
4/29/2021,136.470001,137.070007,132.449997,133.479996,132.691345,151101000
4/30/2021,131.779999,133.559998,131.070007,131.460007,130.683289,109839500
5/3/2021,132.039993,134.070007,131.830002,132.539993,131.756897,75135100
5/4/2021,131.190002,131.490005,126.699997,127.849998,127.094612,137564700
5/5/2021,129.199997,130.449997,127.970001,128.100006,127.34314,84000900
5/6/2021,127.889999,129.75,127.129997,129.740005,128.973465,78128300
5/7/2021,130.850006,131.259995,129.479996,130.210007,129.660553,78973300
5/10/2021,129.410004,129.539993,126.809998,126.849998,126.314705,88071200
5/11/2021,123.5,126.269997,122.769997,125.910004,125.378685,126142800
5/12/2021,123.400002,124.639999,122.25,122.769997,122.251923,112172300
5/13/2021,124.580002,126.150002,124.260002,124.970001,124.442642,105861300
5/14/2021,126.25,127.889999,125.849998,127.449997,126.912178,81918000
5/17/2021,126.82,126.93,125.169998,126.269997,125.73716,74244600
5/18/2021,126.559998,126.989998,124.779999,124.849998,124.323143,63342900
5/19/2021,123.160004,124.919998,122.860001,124.690002,124.163834,92612000
5/20/2021,125.230003,127.720001,125.099998,127.309998,126.772766,76857100
5/21/2021,127.82,128,125.209999,125.43,124.900703,79295400
5/24/2021,126.010002,127.940002,125.940002,127.099998,126.563652,63092900
5/25/2021,127.82,128.320007,126.32,126.900002,126.364502,72009500
5/26/2021,126.959999,127.389999,126.419998,126.849998,126.314705,56575900
5/27/2021,126.440002,127.639999,125.080002,125.279999,124.751335,94625600
5/28/2021,125.57,125.800003,124.550003,124.610001,124.08416,71311100
6/1/2021,125.080002,125.349998,123.940002,124.279999,123.755554,67637100
6/2/2021,124.279999,125.239998,124.050003,125.059998,124.532257,59278900
6/3/2021,124.68,124.849998,123.129997,123.540001,123.018684,76229200
6/4/2021,124.07,126.160004,123.849998,125.889999,125.358765,75169300
6/7/2021,126.169998,126.32,124.830002,125.900002,125.368721,71057600
6/8/2021,126.599998,128.460007,126.209999,126.739998,126.20517,74403800
6/9/2021,127.209999,127.75,126.519997,127.129997,126.593529,56877900
6/10/2021,127.019997,128.190002,125.940002,126.110001,125.577835,71186400
6/11/2021,126.529999,127.440002,126.099998,127.349998,126.812599,53522400
6/14/2021,127.82,130.539993,127.07,130.479996,129.929382,96906500
6/15/2021,129.940002,130.600006,129.389999,129.639999,129.092926,62746300
6/16/2021,130.369995,130.889999,128.460007,130.149994,129.600784,91815000
6/17/2021,129.800003,132.550003,129.649994,131.789993,131.233856,96721700
6/18/2021,130.710007,131.509995,130.240005,130.460007,129.909485,108953300
6/21/2021,130.300003,132.410004,129.210007,132.300003,131.741699,79663300
6/22/2021,132.130005,134.080002,131.619995,133.979996,133.414612,74783600
6/23/2021,133.770004,134.320007,133.229996,133.699997,133.135803,60214200
6/24/2021,134.449997,134.639999,132.929993,133.410004,132.847046,68711000
6/25/2021,133.460007,133.889999,132.809998,133.110001,132.548294,70783700
6/28/2021,133.410004,135.25,133.350006,134.779999,134.211258,62111300
6/29/2021,134.800003,136.490005,134.350006,136.330002,135.7547,64556100
6/30/2021,136.169998,137.410004,135.869995,136.960007,136.382065,63261400
7/1/2021,136.600006,137.330002,135.759995,137.270004,136.690735,52485800
7/2/2021,137.899994,140,137.75,139.960007,139.3694,78852600
7/6/2021,140.070007,143.149994,140.070007,142.020004,141.4207,108181800
7/7/2021,143.539993,144.889999,142.660004,144.570007,143.959946,104911600
7/8/2021,141.580002,144.059998,140.669998,143.240005,142.635559,105575500
7/9/2021,142.75,145.649994,142.649994,145.110001,144.49765,99890800
7/12/2021,146.210007,146.320007,144,144.5,143.890228,76299700
7/13/2021,144.029999,147.460007,143.630005,145.639999,145.025421,100827100
7/14/2021,148.100006,149.570007,147.679993,149.149994,148.520599,127050800
7/15/2021,149.240005,150,147.089996,148.479996,147.853424,106820300
7/16/2021,148.460007,149.759995,145.880005,146.389999,145.772247,93251400
7/19/2021,143.75,144.070007,141.669998,142.449997,141.848877,121434600
7/20/2021,143.460007,147.100006,142.960007,146.149994,145.533249,96350000
7/21/2021,145.529999,146.130005,144.630005,145.399994,144.786423,74993500
7/22/2021,145.940002,148.199997,145.809998,146.800003,146.180527,77338200
7/23/2021,147.550003,148.720001,146.919998,148.559998,147.933075,71447400
7/26/2021,148.270004,149.830002,147.699997,148.990005,148.361282,72434100
7/27/2021,149.119995,149.210007,145.550003,146.770004,146.15065,104818600
7/28/2021,144.809998,146.970001,142.539993,144.979996,144.36821,118931200
7/29/2021,144.690002,146.550003,144.580002,145.639999,145.025421,56699500
7/30/2021,144.380005,146.330002,144.110001,145.860001,145.244492,70382000
8/2/2021,146.360001,146.949997,145.25,145.520004,144.90593,62880000
8/3/2021,145.809998,148.039993,145.179993,147.360001,146.738174,64786600
8/4/2021,147.270004,147.789993,146.279999,146.949997,146.329895,56368300
8/5/2021,146.979996,147.839996,146.169998,147.059998,146.439423,46397700
8/6/2021,146.350006,147.110001,145.630005,146.139999,145.741333,54067400
8/9/2021,146.199997,146.699997,145.520004,146.089996,145.691467,48908700
8/10/2021,146.440002,147.710007,145.300003,145.600006,145.20282,69023100
8/11/2021,146.050003,146.720001,145.529999,145.860001,145.462112,48493500
8/12/2021,146.190002,149.050003,145.839996,148.889999,148.483841,72282600
8/13/2021,148.970001,149.440002,148.270004,149.100006,148.693268,59318800
8/16/2021,148.539993,151.190002,146.470001,151.119995,150.707748,103296000
8/17/2021,150.229996,151.679993,149.089996,150.190002,149.780304,92229700
8/18/2021,149.800003,150.720001,146.149994,146.360001,145.960739,86326000
8/19/2021,145.029999,148,144.5,146.699997,146.29982,86960300
8/20/2021,147.440002,148.5,146.779999,148.190002,147.785751,59947400
8/23/2021,148.309998,150.190002,147.889999,149.710007,149.30162,60131800
8/24/2021,149.449997,150.860001,149.149994,149.619995,149.211838,48606400
8/25/2021,149.809998,150.320007,147.800003,148.360001,147.955276,58991300
